;Nombre;matches;Id
67;Julià de Jòdar i Muñoz;Julià de Jòdar i Muñoz;DeJòdarJulià
68;Anna Gabriel i Sabaté;Anna Gabriel i Sabaté;GabrielAnna
69;Joan Garriga i Quadres;Joan Garriga i Quadres;GarrigaJoan
70;Eulàlia Reguant Cura;Eulàlia Reguant Cura;ReguantEulàlia
71;Carles Riera i Albert;Carles Riera i Albert;RieraCarles
72;Xavier Safont-Tria i Ramon;Xavier Safont-Tria i Ramon;SafontXavier
73;Sergi Saladié i Gil;Sergi Saladié i Gil;SaladiéSergi
74;Benet Salellas i Vilar;Benet Salellas i Vilar;SalellasBenet
75;Natàlia Sànchez Dipp;Natàlia Sànchez Dipp;SànchezNatàlia
76;Maria Gabriela Serra i Frediani;Maria Gabriela Serra i Frediani;SerraMaria
77;Maria Sirvent Escrig;Maria Sirvent Escrig;SirventMaria
78;Ramon Usall i Santa;Ramon Usall i Santa;UsallRamon
79;Mireia Vehí i Cantenys;Mireia Vehí i Cantenys;VehíMireia
80;Jordi Albert i Caballero;Jordi Albert i Caballero;AlbertJordi
81;Eva Baró i Ramos;Eva Baró i Ramos;BaróEva
82;Aurora Carbonell i Abella;Aurora Carbonell i Abella;CarbonellAurora
83;Jenn Diaz Ruiz;Jenn Diaz Ruiz;DiazJenn
84;Najat Driouech Ben Moussa;Najat Driouech Ben Moussa;BenNajat
85;Gemma Espigares i Tribño;Gemma Espigares i Tribño;EspigaresGemma
86;Irene Fornós i Curto;Irene Fornós i Curto;FornósIrene
87;Josep Maria Jové i Lladó;Josep Maria Jové i Lladó;JovéJosep
88;Noemi Llauradó i Sans;Noemi Llauradó i Sans;LlauradóNoemi
89;Lluïsa Llop i Fernàndez;Lluïsa Llop i Fernàndez;LlopLluïsa
90;Ernest Maragall i Mira;Ernest Maragall i Mira;MaragallErnest
91;Alba Metge i Climent;Alba Metge i Climent;MetgeAlba
92;Mònica Palacín i París;Mònica Palacín i París;PalacinMònica
93;Òscar Peris i Ròdenas;Òscar Peris i Ròdenas;PerisÒscar
94;Núria Picas i Albets;Núria Picas i Albets;PicasNúria
95;Rut Ribas i Martí;Rut Ribas i Martí;RibasRut
96;José Rodriguez Fernández;José Rodriguez Fernández;RodriguezJosé
97;Raquel Sans i Guerra;Raquel Sans i Guerra;SansRaquel
98;Meritxell Serret i Aleu;Meritxell Serret i Aleu;SerretMeritxell
99;Francesc Viaplana i Manresa;Francesc Viaplana i Manresa;ViaplanaFrancesc
100;Marta Vilalta i Torres;Marta Vilalta i Torres;VilaltaMarta
101;Ruben Ruben Wagensberg;Ruben Ruben Wagensberg;WagensbergRuben
102;Oriol Amat i Sales;Oriol Amat i Sales;AmatOriol
103;Oriol Amorós i March;Oriol Amorós i March;AmorósOriol
104;Pere Aragonès i Garcia;Pere Aragonès i Garcia;AragonèsPere
105;Antoni Balasch i Parisi;Antoni Balasch i Parisi;BalaschAntoni
106;Ramona Barrufet i Santacana;Ramona Barrufet i Santacana;BarrufetRamona
107;Dolors Bassa i Coll;Dolors Bassa i Coll;BassaDolors
108;Albert Batalla i Siscart;Albert Batalla i Siscart;BatallaAlbert
109;Albert Batet Canadell;Albert Batet Canadell;BatetAlbert
110;Germà Bel Queralt;Germà Bel Queralt;BelGermà
111;David Bonvehí i Torras;David Bonvehí i Torras;BonvehíDavid
112;Montserrat Candini i Puig;Montserrat Candini i Puig;CandiniMontserrat
113;Muriel Casals i Couturier;Muriel Casals i Couturier;CasalsMuriel
114;Magdalena Casamitjana i Aguilà;Magdalena Casamitjana i Aguilà;CasamitjanaMagdalena
115;Antoni Castellà i Clavè;Antoni Castellà i Clavè;CastellàAntoni
116;Carmina Castellví i Vallverdú;Carmina Castellví i Vallverdú;CastellvíCarmina
117;Anna Caula i Paretas;Anna Caula i Paretas;CaulaAnna
118;Violant Cervera i Gòdia;Violant Cervera i Gòdia;CerveraViolant
119;Ferran Civit Martí;Ferran Civit Martí;CivitFerran
120;Antoni Comín i Oliveres;Antoni Comín i Oliveres;ComínAntoni
121;Lluís Corominas i Diaz;Lluís Corominas i Diaz;CorominasLluís
122;Jordi Cuminal i Roquet;Jordi Cuminal i Roquet;CuminalJordi
123;Adriana Delgado i Herreros;Adriana Delgado i Herreros;DelgadoAdriana
124;Chakir El Homrani Lesfar;Chakir El Homrani Lesfar;ElHomraniChakir
125;Anna Figueras i Ibañez;Anna Figueras i Ibañez;FiguerasAnna
126;Natàlia Figueras i Pagès;Natàlia Figueras i Pagès;FiguerasNatàlia
127;Carme Forcadell i Lluís;Carme Forcadell i Lluís;ForcadellCarme
128;Josep Maria Forné i Febrer;Josep Maria Forné i Febrer;FornéJosep
129;Montserrat Fornells i Solè;Montserrat Fornells i Solè;FornellsMontserrat
130;Gerard Gómez del Moral i Fuster;Gerard Gómez del Moral i Fuster;GomézGerard
